order_id,delivery_partner_id,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed,feedback_id,customer_id,rating,feedback_text,feedback_category,sentiment,feedback_date
1961864118,63230,2024-07-17 08:52:01,2024-07-17 08:47:01,-5.0,0.96,On Time,,2234710,30065862,4,"It was okay, nothing special.",Delivery,Neutral,2024-07-17
1549769649,14983,2024-05-28 13:25:29,2024-05-28 13:27:29,2.0,0.98,On Time,Traffic,5450964,9573071,3,The order was incorrect.,App Experience,Negative,2024-05-28
9185164487,39859,2024-09-23 13:25:12,2024-09-23 13:29:12,4.0,3.83,On Time,Traffic,482108,45477575,3,"It was okay, nothing special.",App Experience,Neutral,2024-09-23
9644738826,61497,2023-11-24 16:34:56,2023-11-24 16:33:56,-1.0,2.76,On Time,,4823104,88067569,4,The product met my expectations.,App Experience,Neutral,2023-11-24
5427684290,84315,2023-11-20 05:17:39,2023-11-20 05:18:39,1.0,2.63,On Time,Traffic,3537464,83298567,3,Product was damaged during delivery.,Delivery,Negative,2023-11-20
3265154092,554,2023-03-18 16:49:51,2023-03-18 16:48:51,-1.0,1.94,On Time,,4089724,43367112,2,Product was damaged during delivery.,Customer Service,Negative,2023-03-18
4898355547,14630,2023-04-16 19:01:37,2023-04-16 19:02:37,1.0,2.2,On Time,Traffic,230696,13284996,4,Highly recommended!,Product Quality,Positive,2023-04-16
6568151549,67714,2024-03-31 06:37:48,2024-03-31 06:39:48,2.0,1.3,On Time,Traffic,2259308,88866835,2,I had a bad experience.,App Experience,Negative,2024-03-31
6006693867,91362,2023-07-14 00:02:36,2023-07-14 00:05:36,3.0,3.38,On Time,Traffic,7380970,24496983,3,Product was damaged during delivery.,Delivery,Negative,2023-07-14
374186990,77203,2023-08-09 01:37:30,2023-08-09 01:44:30,7.0,1.47,Slightly Delayed,Traffic,2257242,52215833,3,The product met my expectations.,App Experience,Neutral,2023-08-09
4455336265,64046,2023-08-30 19:47:06,2023-08-30 19:45:06,-2.0,0.76,On Time,,1837573,43431724,2,Taste was not as expected.,Delivery,Negative,2023-08-30
3539286337,94899,2023-04-25 20:44:24,2023-04-25 20:39:24,-5.0,3.68,On Time,,258023,77559557,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,2023-04-25
9171116867,73907,2023-10-22 11:25:33,2023-10-22 11:37:33,12.0,2.23,Slightly Delayed,Traffic,3081099,87107263,4,The product met my expectations.,Customer Service,Neutral,2023-10-22
5504941865,56077,2024-01-28 02:55:11,2024-01-28 03:06:11,11.0,4.45,Slightly Delayed,Traffic,3158837,76512976,5,Highly recommended!,App Experience,Positive,2024-01-28
